L001|UGMC Emergency & Trauma Centre|Emergency Block|Emergency|5.6506|-0.1854
L002|Clinical Services OPD Block|Main Clinical Complex|Clinical|5.651|-0.185
L003|Main Intensive Care Unit (ICU)|Critical Care Wing|Critical Care|5.6515|-0.1846
L004|Radiology & Medical Imaging Centre|Diagnostics Wing|Diagnostic|5.652|-0.1842
L005|Central Pathology & Medical Lab|Diagnostics Wing|Diagnostic|5.6525|-0.1838
L006|Main Surgical Operating Suite|Surgical Complex|Surgical|5.653|-0.1834
L007|Women & Children Block (OBGYN & Maternity)|Women & Children Complex|Clinical|5.6535|-0.183
L008|Neonatal ICU & Human Milk Bank|Women & Children Complex|Critical Care|5.654|-0.1826
L009|Blood Bank & Transfusion Unit|Diagnostics Wing|Diagnostic|5.6545|-0.1822
L010|UGMC Central Pharmacy|Central Support Block|Pharmacy|5.655|-0.1818
L011|Ambulance Station & Emergency Helipad|Perimeter & Logistics|Emergency|5.65|-0.186
L012|Medical Training & Simulation Centre (MTSC)|Academic & Training Complex|Academic|5.6555|-0.1814
L013|Medical Research Centre (MRC)|Research Complex|Research|5.656|-0.181
L014|Radiotherapy & Oncology Centre|Specialist Oncology Block|Clinical|5.6565|-0.1806
L015|Dialysis & Renal Care Unit|Specialist Care Wing|Clinical|5.657|-0.1802
L016|Central Sterile Services Department (CSSD)|Surgical Support Wing|Support|5.6532|-0.1832
L017|Central Medical Stores & Equipment Depot|Logistics Block|Support|5.6575|-0.1798
L018|UGMC Administration & Directorates|Admin Block|Administrative|5.658|-0.1794
L019|Main Security Gate (GA-337-6980)|Main Entrance|Security|5.6495|-0.1865
L020|IVF & Assisted Reproductive Tech Centre|Specialist Women Centre|Clinical|5.6538|-0.1828
L021|Cardiology & Heart Care Centre|Specialist Care Wing|Clinical|5.6585|-0.1790
L022|Neurology & Stroke Unit|Specialist Care Wing|Clinical|5.6590|-0.1786
L023|Orthopaedics & Trauma Ward|Clinical Services Block|Clinical|5.6595|-0.1782
L024|Physiotherapy & Rehabilitation Centre|Rehabilitation Block|Clinical|5.6600|-0.1778
L025|Dental & Maxillofacial Clinic|Specialist Clinics Block|Clinical|5.6605|-0.1774
L026|Eye Care & Ophthalmology Centre|Specialist Clinics Block|Clinical|5.6610|-0.1770
L027|Ear Nose & Throat Clinic|Specialist Clinics Block|Clinical|5.6615|-0.1766
L028|Dermatology Clinic|Specialist Clinics Block|Clinical|5.6620|-0.1762
L029|Mental Health & Psychiatry Unit|Behavioural Health Block|Clinical|5.6625|-0.1758
L030|Nutrition & Dietetics Department|Clinical Support Block|Support|5.6630|-0.1754
L031|Medical Records & Health Information Unit|Administration Annex|Administrative|5.6583|-0.1788
L032|Patient Admissions & Discharge Unit|Main Clinical Complex|Administrative|5.6578|-0.1792
L033|Biomedical Engineering Department|Technical Services Block|Support|5.6573|-0.1796
L034|Hospital Laundry & Linen Services|Facilities Support Block|Support|5.6568|-0.1800
L035|Waste Management & Sanitation Unit|Facilities Support Block|Support|5.6563|-0.1804
L036|Central Kitchen & Dietary Services|Hospitality Support Block|Support|5.6558|-0.1808
L037|Staff Cafeteria & Dining Hall|Hospitality Support Block|Support|5.6553|-0.1812
L038|Staff Occupational Health Clinic|Staff Services Block|Clinical|5.6548|-0.1816
L039|Infection Prevention & Control Unit|Clinical Governance Block|Support|5.6543|-0.1820
L040|Public Health & Disease Surveillance Unit|Research & Public Health Block|Research|5.6538|-0.1824
L041|Clinical Psychology & Counselling Centre|Behavioural Health Block|Clinical|5.6533|-0.1828
L042|Urology & Men's Health Clinic|Specialist Clinics Block|Clinical|5.6528|-0.1832
L043|Gastroenterology & Endoscopy Unit|Specialist Care Wing|Clinical|5.6523|-0.1836
L044|Respiratory & Pulmonary Care Unit|Specialist Care Wing|Clinical|5.6518|-0.1840
L045|Diabetes & Endocrinology Clinic|Specialist Clinics Block|Clinical|5.6513|-0.1844
L046|Family Medicine & Primary Care Clinic|Outpatient Services Block|Clinical|5.6508|-0.1848
L047|Hospital Chapel & Spiritual Care Centre|Community Services Block|Support|5.6503|-0.1852
L048|Staff Training & Conference Centre|Academic & Training Complex|Academic|5.6498|-0.1856
L049|ICT Data Centre & Network Operations|Technology Services Block|Technology|5.6493|-0.1860
L050|Facilities Management & Maintenance Unit|Engineering Services Block|Support|5.6488|-0.1864
L051|Pediatric Outpatient Clinic|Women & Children Complex|Clinical|5.6483|-0.1868
L052|Pediatric Emergency Unit|Women & Children Complex|Emergency|5.6478|-0.1872
L053|High Dependency Unit (HDU)|Critical Care Wing|Critical Care|5.6473|-0.1876
L054|Cardiac Catheterization Laboratory|Cardiology Complex|Diagnostic|5.6468|-0.1880
L055|Electrocardiography & Holter Monitoring Unit|Cardiology Complex|Diagnostic|5.6463|-0.1884
L056|CT Scan Imaging Unit|Diagnostics Wing|Diagnostic|5.6458|-0.1888
L057|MRI Imaging Unit|Diagnostics Wing|Diagnostic|5.6453|-0.1892
L058|Ultrasound & Sonography Unit|Diagnostics Wing|Diagnostic|5.6448|-0.1896
L059|Mammography & Breast Imaging Centre|Diagnostics Wing|Diagnostic|5.6443|-0.1900
L060|Clinical Chemistry Laboratory|Pathology Complex|Diagnostic|5.6438|-0.1904
L061|Microbiology Laboratory|Pathology Complex|Diagnostic|5.6433|-0.1908
L062|Haematology Laboratory|Pathology Complex|Diagnostic|5.6428|-0.1912
L063|Histopathology Laboratory|Pathology Complex|Diagnostic|5.6423|-0.1916
L064|Molecular Diagnostics Laboratory|Research Complex|Research|5.6418|-0.1920
L065|Clinical Trials Unit|Medical Research Centre|Research|5.6413|-0.1924
L066|Biostatistics & Data Management Unit|Medical Research Centre|Research|5.6408|-0.1928
L067|Epidemiology Research Unit|Medical Research Centre|Research|5.6403|-0.1932
L068|Research Ethics Office|Research Administration Block|Administrative|5.6398|-0.1936
L069|Medical Library & Learning Resource Centre|Academic & Training Complex|Academic|5.6393|-0.1940
L070|Clinical Skills Laboratory|Academic & Training Complex|Academic|5.6388|-0.1944
L071|Nursing Training Centre|Academic & Training Complex|Academic|5.6383|-0.1948
L072|Continuing Medical Education Centre|Academic & Training Complex|Academic|5.6378|-0.1952
L073|Lecture Theatre A|Academic & Training Complex|Academic|5.6373|-0.1956
L074|Lecture Theatre B|Academic & Training Complex|Academic|5.6368|-0.1960
L075|Resident Doctors Lounge|Staff Services Block|Support|5.6363|-0.1964
L076|Nurses Rest & Welfare Centre|Staff Services Block|Support|5.6358|-0.1968
